from_node_token,to_node_token,deprel,label,doc_id,from_node_Number,from_node_lemma,from_node_upos,from_node_xpos,from_node_VerbForm,to_node_Gender,to_node_Number,to_node_lemma,to_node_upos,to_node_xpos,from_node_Gender,from_node_Tense,from_node_Mood,from_node_Person,from_node_PronType,to_node_PronType,to_node_Person,from_node_NumType,to_node_NumType
time.n.08,now,,EQU,it/p96/d1684,,,,,,,,,,,,,,,,,,,
felice.a.01,time.n.08,,Time,it/p96/d1684,Sing,felice,ADJ,A,,,,,,,,,,,,,,,
cercare.v.01,casa.n.01,obj,Theme,it/p96/d2897,,cercare,VERB,V,Inf,Fem,Sing,casa,NOUN,S,,,,,,,,,
time.n.08,now,,EQU,it/p96/d2897,,,,,,,,,,,,,,,,,,,
stressante.a.01,time.n.08,,Time,it/p96/d2897,Sing,stressante,ADJ,A,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p96/d3140,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p96/d3140,,,,,,,,,,,,,,,,,,,
giovane.a.01,time.n.08,,Time,it/p96/d3140,Sing,giovane,ADJ,A,,,,,,,,,,,,,,,
giovane.a.01,female.n.02,nsubj,AttributeOf,it/p96/d3140,Sing,giovane,ADJ,A,,,,Tom,PROPN,SP,,,,,,,,,
schiaffeggiare.v.01,time.n.08,,Time,it/p96/d0858,Sing,schiaffeggiare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
time.n.08,now,,TPR,it/p96/d0858,,,,,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p96/d2029,,Tom,PROPN,SP,,,,,,,,,,,,,,,
geloso.a.01,time.n.08,,Time,it/p96/d2029,Sing,geloso,ADJ,A,,,,,,,Masc,,,,,,,,
geloso.a.01,molto.r.01,advmod,Degree,it/p96/d2029,Sing,geloso,ADJ,A,,,,molto,ADV,B,Masc,,,,,,,,
time.n.08,now,,EQU,it/p96/d2864,,,,,,,,,,,,,,,,,,,
abbaiare.v.01,time.n.08,,Time,it/p96/d2864,,abbaiare,VERB,V,Ger,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p96/d2865,,Tom,PROPN,SP,,,,,,,,,,,,,,,
giocare.v.01,female.n.02,nsubj,Agent,it/p96/d2865,Sing,giocare,VERB,V,Fin,,,Tom,PROPN,SP,,Pres,Ind,3,,,,,
giocare.v.01,time.n.08,,Time,it/p96/d2865,Sing,giocare,VERB,V,Fin,,,,,,,Pres,Ind,3,,,,,
giocare.v.01,hockey.n.01,obl,Theme,it/p96/d2865,Sing,giocare,VERB,V,Fin,Masc,,hockey,NOUN,S,,Pres,Ind,3,,,,,
time.n.08,now,,EQU,it/p96/d2865,,,,,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p96/d2883,,,,,,,,,,,,,,,,,,,
dolce.a.01,banana.n.02,nsubj,AttributeOf,it/p96/d2883,Sing,dolce,ADJ,A,,Fem,Sing,banana,NOUN,S,,,,,,,,,
dolce.a.01,time.n.08,,Time,it/p96/d2883,Sing,dolce,ADJ,A,,,,,,,,,,,,,,,
person.n.01,speaker,,EQU,it/p96/d1428,Sing,io,PRON,PE,,,,,,,,,,1,Prs,,,,
fiero.a.01,time.n.08,,Time,it/p96/d1428,Sing,fiero,ADJ,A,,,,,,,Masc,,,,,,,,
person.n.01,hearer,,EQU,it/p96/d1428,Sing,tu,PRON,PE,,,,,,,,,,2,Prs,,,,
time.n.08,now,,EQU,it/p96/d1639,,,,,,,,,,,,,,,,,,,
bello.a.01,vagina.n.01,nsubj,AttributeOf,it/p96/d1639,Sing,bello,ADJ,A,,Fem,Sing,vagina,NOUN,S,Fem,,,,,,,,
bello.a.01,time.n.08,,Time,it/p96/d1639,Sing,bello,ADJ,A,,,,,,,Fem,,,,,,,,
cantante.n.01,time.n.08,,Time,it/p96/d2273,Sing,cantante,NOUN,S,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p96/d3526,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p96/d3526,,,,,,,,,,,,,,,,,,,
allergico.a.01,time.n.08,,Time,it/p96/d3526,Sing,allergico,ADJ,A,,,,,,,Masc,,,,,,,,
allergico.a.01,grano.n.01,obl,Stimulus,it/p96/d3526,Sing,allergico,ADJ,A,,Masc,Sing,grano,NOUN,S,Masc,,,,,,,,
tennista.n.01,time.n.08,,Time,it/p96/d2691,Sing,tennista,NOUN,S,,,,,,,Masc,,,,,,,,
time.n.08,now,,EQU,it/p96/d2691,,,,,,,,,,,,,,,,,,,
person.n.01,speaker,,EQU,it/p96/d0945,Sing,mi,PRON,PC,,,,,,,,,,1,Prs,,,,
capire.v.01,time.n.08,,Time,it/p96/d0945,Sing,capire,VERB,V,Fin,,,,,,,Imp,Ind,3,,,,,
time.n.08,now,,TPR,it/p96/d0945,,,,,,,,,,,,,,,,,,,
scavare.v.01,time.n.08,,Time,it/p96/d0839,Sing,scavare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
time.n.08,now,,TPR,it/p96/d0839,,,,,,,,,,,,,,,,,,,
person.n.01,speaker,,EQU,it/p79/d2766,Sing,io,PRON,PE,,,,,,,,,,1,Prs,,,,
time.n.08,now,,TPR,it/p79/d2766,,,,,,,,,,,,,,,,,,,
disarmare.v.01,time.n.08,,Time,it/p79/d2766,Sing,disarmare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
female.n.02,Tom,,Name,it/p79/d3299,,Tom,PROPN,SP,,,,,,,,,,,,,,,
sorrire.v.01,female.n.02,nsubj,Agent,it/p79/d3299,Sing,sorrire,VERB,V,Fin,,,Tom,PROPN,SP,,Past,Ind,3,,,,,
sorrire.v.01,time.n.08,,Time,it/p79/d3299,Sing,sorrire,VERB,V,Fin,,,,,,,Past,Ind,3,,,,,
time.n.08,now,,TPR,it/p79/d3299,,,,,,,,,,,,,,,,,,,
stilista.n.01,time.n.08,,Time,it/p79/d0763,Sing,stilista,NOUN,S,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p79/d0763,,,,,,,,,,,,,,,,,,,
suonare.v.01,time.n.08,,Time,it/p79/d2906,Sing,suonare,VERB,V,Fin,,,,,,,Past,Ind,3,,,,,
suonare.v.01,sirena.n.01,obj,Theme,it/p79/d2906,Sing,suonare,VERB,V,Fin,Fem,Sing,sirena,NOUN,S,,Past,Ind,3,,,,,
time.n.08,now,,TPR,it/p79/d2906,,,,,,,,,,,,,,,,,,,
person.n.01,speaker,,EQU,it/p79/d0767,Sing,mi,PRON,PC,,,,,,,,,,1,Prs,,,,
capire.v.01,time.n.08,,Time,it/p79/d0767,Sing,capire,VERB,V,Fin,,,,,,,Pres,Ind,3,,,,,
time.n.08,now,,EQU,it/p79/d0767,,,,,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p79/d3330,,Tom,PROPN,SP,,,,,,,,,,,,,,,
spaventare.v.01,time.n.08,,Time,it/p79/d3330,Sing,spaventare,VERB,V,Fin,,,,,,,Pres,Ind,3,,,,,
time.n.08,now,,EQU,it/p79/d3330,,,,,,,,,,,,,,,,,,,
time.n.08,now,,TPR,it/p79/d1587,,,,,,,,,,,,,,,,,,,
aprire.v.01,time.n.08,,Time,it/p79/d1587,Sing,aprire,VERB,V,Part,,,,,,Fem,Past,,,,,,,
time.n.08,now,,EQU,it/p79/d3426,,,,,,,,,,,,,,,,,,,
facile.a.01,time.n.08,,Time,it/p79/d3426,Sing,facile,ADJ,A,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p79/d2843,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,TPR,it/p79/d2843,,,,,,,,,,,,,,,,,,,
pugnalare.v.01,time.n.08,,Time,it/p79/d2843,Sing,pugnalare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
time.n.08,now,,TPR,it/p79/d0760,,,,,,,,,,,,,,,,,,,
arrestare.v.01,time.n.08,,Time,it/p79/d0760,Sing,arrestare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
female.n.02,Tom,,Name,it/p79/d2849,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p79/d2849,,,,,,,,,,,,,,,,,,,
innovativo.a.01,female.n.02,nsubj,AttributeOf,it/p79/d2849,Sing,innovativo,ADJ,A,,,,Tom,PROPN,SP,Masc,,,,,,,,
innovativo.a.01,time.n.08,,Time,it/p79/d2849,Sing,innovativo,ADJ,A,,,,,,,Masc,,,,,,,,
female.n.02,Tom,,Name,it/p79/d3500,,Tom,PROPN,SP,,,,,,,,,,,,,,,
alzare.v.01,time.n.08,,Time,it/p79/d3500,Sing,alzare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
attore.n.01,time.n.08,,Time,it/p79/d0885,Sing,attore,NOUN,S,,,,,,,Masc,,,,,,,,
time.n.08,now,,EQU,it/p79/d0885,,,,,,,,,,,,,,,,,,,
costare.v.01,biglietto.n.01,nsubj,Theme,it/p79/d2820,Sing,costare,VERB,V,Fin,Masc,Sing,biglietto,NOUN,S,,Pres,Ind,3,,,,,
sparare.v.01,time.n.08,,Time,it/p79/d2314,Sing,sparare,VERB,V,Fin,,,,,,,Past,Ind,3,,,,,
time.n.08,now,,TPR,it/p79/d2314,,,,,,,,,,,,,,,,,,,
vivere.v.01,millione.n.01,nsubj,Theme,it/p79/d0886,Plur,vivere,VERB,V,Fin,Masc,Plur,millione,NOUN,S,,Pres,Ind,3,,,,,
corridore.n.01,time.n.08,,Time,it/p79/d2415,Sing,corridore,NOUN,S,,,,,,,Masc,,,,,,,,
time.n.08,now,,EQU,it/p79/d2415,,,,,,,,,,,,,,,,,,,
applaudire.v.01,time.n.08,,Time,it/p79/d2358,Plur,applaudire,VERB,V,Fin,,,,,,,Pres,Ind,3,,,,,
time.n.08,now,,EQU,it/p79/d2358,,,,,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p98/d2348,,Tom,PROPN,SP,,,,,,,,,,,,,,,
preparare.v.01,female.n.02,nsubj,Agent,it/p98/d2348,Sing,preparare,VERB,V,Fin,,,Tom,PROPN,SP,,Past,Ind,3,,,,,
preparare.v.01,time.n.08,,Time,it/p98/d2348,Sing,preparare,VERB,V,Fin,,,,,,,Past,Ind,3,,,,,
time.n.08,now,,TPR,it/p98/d2348,,,,,,,,,,,,,,,,,,,
camminare.v.01,time.n.08,,Time,it/p98/d1869,Sing,camminare,VERB,V,Fin,,,,,,,Pres,Ind,3,,,,,
camminare.v.01,female.n.02,obl,Location,it/p98/d1869,Sing,camminare,VERB,V,Fin,,,Los,PROPN,SP,,Pres,Ind,3,,,,,
time.n.08,now,,EQU,it/p98/d1869,,,,,,,,,,,,,,,,,,,
female.n.02,Los,,Name,it/p98/d1869,,Los,PROPN,SP,,,,,,,,,,,,,,,
sparare.v.01,time.n.08,,Time,it/p98/d3299,Sing,sparare,VERB,V,Fin,,,,,,,Past,Ind,3,,,,,
time.n.08,now,,TPR,it/p98/d3299,,,,,,,,,,,,,,,,,,,
sciatore.n.01,time.n.08,,Time,it/p98/d2556,Sing,sciatore,NOUN,S,,,,,,,Masc,,,,,,,,
time.n.08,now,,EQU,it/p98/d2556,,,,,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p98/d3003,,Tom,PROPN,SP,,,,,,,,,,,,,,,
attaccare.v.01,female.n.02,nsubj,Agent,it/p98/d3003,Sing,attaccare,VERB,V,Fin,,,Tom,PROPN,SP,,Past,Ind,3,,,,,
attaccare.v.01,time.n.08,,Time,it/p98/d3003,Sing,attaccare,VERB,V,Fin,,,,,,,Past,Ind,3,,,,,
attaccare.v.01,corda.n.01,obj,Theme,it/p98/d3003,Sing,attaccare,VERB,V,Fin,Fem,Sing,corda,NOUN,S,,Past,Ind,3,,,,,
time.n.08,now,,TPR,it/p98/d3003,,,,,,,,,,,,,,,,,,,
female.n.02,John,,Name,it/p98/d0794,,John,PROPN,SP,,,,,,,,,,,,,,,
ereditare.v.01,female.n.02,nsubj,Agent,it/p98/d0794,Sing,ereditare,VERB,V,Part,,,John,PROPN,SP,Masc,Past,,,,,,,
person.n.01,speaker,,EQU,it/p98/d1717,Sing,mi,PRON,PC,,,,,,,,,,1,Prs,,,,
female.n.02,William,,Name,it/p98/d1722,,William,PROPN,SP,,,,,,,,,,,,,,,
incontrare.v.01,time.n.08,,Time,it/p98/d1722,Sing,incontrare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
time.n.08,now,,TPR,it/p98/d1722,,,,,,,,,,,,,,,,,,,
female.n.02,Grace,,Name,it/p98/d1722,,Grace,PROPN,SP,,,,,,,,,,,,,,,
stuntman.n.01,time.n.08,,Time,it/p65/d3495,,stuntman,NOUN,S,,,,,,,Masc,,,,,,,,
time.n.08,now,,EQU,it/p65/d3495,,,,,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p65/d2171,,Tom,PROPN,SP,,,,,,,,,,,,,,,
sbadigliare.v.01,female.n.02,nsubj,Agent,it/p65/d2171,Sing,sbadigliare,VERB,V,Part,,,Tom,PROPN,SP,Masc,Past,,,,,,,
sbadigliare.v.01,time.n.08,,Time,it/p65/d2171,Sing,sbadigliare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
time.n.08,now,,TPR,it/p65/d2171,,,,,,,,,,,,,,,,,,,
soffrire.v.01,time.n.08,,Time,it/p65/d0811,Sing,soffrire,VERB,V,Fin,,,,,,,Pres,Ind,3,,,,,
time.n.08,now,,EQU,it/p65/d0811,,,,,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p65/d1668,,,,,,,,,,,,,,,,,,,
razionale.a.01,niente.n.01,nsubj,AttributeOf,it/p65/d1668,Sing,razionale,ADJ,A,,Masc,Sing,niente,PRON,PI,,,,,,Ind,,,
razionale.a.01,time.n.08,,Time,it/p65/d1668,Sing,razionale,ADJ,A,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p65/d3533,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p65/d3533,,,,,,,,,,,,,,,,,,,
fumare.v.01,female.n.02,nsubj,Agent,it/p65/d3533,,fumare,VERB,V,Ger,,,Tom,PROPN,SP,,,,,,,,,
fumare.v.01,time.n.08,,Time,it/p65/d3533,,fumare,VERB,V,Ger,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p65/d2926,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p65/d2926,,,,,,,,,,,,,,,,,,,
mungendo.v.01,female.n.02,nsubj,Agent,it/p65/d2926,,mungendo,VERB,V,Ger,,,Tom,PROPN,SP,,,,,,,,,
mungendo.v.01,time.n.08,,Time,it/p65/d2926,,mungendo,VERB,V,Ger,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p65/d1440,,,,,,,,,,,,,,,,,,,
masticare.v.01,time.n.08,,Time,it/p65/d1440,,masticare,VERB,V,Ger,,,,,,,,,,,,,,
morire.v.01,time.n.08,,Time,it/p38/d1392,Sing,morire,VERB,V,Fin,,,,,,,Past,Ind,3,,,,,
time.n.08,now,,TPR,it/p38/d1392,,,,,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p38/d2899,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p38/d2899,,,,,,,,,,,,,,,,,,,
brillo.a.01,female.n.02,nsubj,AttributeOf,it/p38/d2899,Sing,brillo,ADJ,A,,,,Tom,PROPN,SP,Masc,,,,,,,,
brillo.a.01,time.n.08,,Time,it/p38/d2899,Sing,brillo,ADJ,A,,,,,,,Masc,,,,,,,,
avere.v.01,time.n.08,,Time,it/p38/d2181,Plur,avere,VERB,V,Fin,,,,,,,Pres,Ind,3,,,,,
time.n.08,now,,EQU,it/p38/d2181,,,,,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p38/d3256,,,,,,,,,,,,,,,,,,,
vivo.a.01,nessuno.n.01,nsubj,AttributeOf,it/p38/d3256,Sing,vivo,ADJ,A,,Masc,Sing,nessuno,PRON,PI,Masc,,,,,Ind,,,
vivo.a.01,time.n.08,,Time,it/p38/d3256,Sing,vivo,ADJ,A,,,,,,,Masc,,,,,,,,
female.n.02,Tom,,Name,it/p16/d1903,,Tom,PROPN,SP,,,,,,,,,,,,,,,
divertire.v.01,time.n.08,,Time,it/p16/d1903,Sing,divertire,VERB,V,Part,,,,,,Masc,Past,,,,,,,
time.n.08,now,,EQU,it/p16/d0902,,,,,,,,,,,,,,,,,,,
bussare.v.01,time.n.08,,Time,it/p16/d0902,,bussare,VERB,V,Ger,,,,,,,,,,,,,,
female.n.02,Pinocchio,,Name,it/p16/d3275,,Pinocchio,PROPN,SP,,,,,,,,,,,,,,,
camminare.v.01,time.n.08,,Time,it/p16/d3275,Sing,camminare,VERB,V,Fin,,,,,,,Pres,Ind,3,,,,,
time.n.08,now,,EQU,it/p16/d3275,,,,,,,,,,,,,,,,,,,
female.n.02,Saddam,,Name,it/p16/d0761,,Saddam,PROPN,SP,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p48/d1884,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,TPR,it/p48/d1884,,,,,,,,,,,,,,,,,,,
assolvere.v.01,time.n.08,,Time,it/p48/d1884,Sing,assolvere,VERB,V,Part,,,,,,Masc,Past,,,,,,,
time.n.08,now,,EQU,it/p48/d2304,,,,,,,,,,,,,,,,,,,
viola.a.01,time.n.08,,Time,it/p48/d2304,Sing,viola,ADJ,A,,,,,,,Masc,,,,,,,,
person.n.01,speaker,,EQU,it/p48/d0940,Sing,io,PRON,PE,,,,,,,,,,1,Prs,,,,
time.n.08,now,,EQU,it/p48/d0940,,,,,,,,,,,,,,,,,,,
mancino.a.01,person.n.01,nsubj,AttributeOf,it/p48/d0940,Sing,mancino,ADJ,A,,,Sing,io,PRON,PE,Fem,,,,,Prs,1,,
mancino.a.01,time.n.08,,Time,it/p48/d0940,Sing,mancino,ADJ,A,,,,,,,Fem,,,,,,,,
nuotare.v.01,time.n.08,,Time,it/p48/d0837,Sing,nuotare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
time.n.08,now,,TPR,it/p48/d0837,,,,,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p48/d2545,,Tom,PROPN,SP,,,,,,,,,,,,,,,
mangiare.v.01,female.n.02,nsubj,Agent,it/p48/d2545,Sing,mangiare,VERB,V,Fin,,,Tom,PROPN,SP,,Past,Ind,3,,,,,
mangiare.v.01,time.n.08,,Time,it/p48/d2545,Sing,mangiare,VERB,V,Fin,,,,,,,Past,Ind,3,,,,,
time.n.08,now,,TPR,it/p48/d2545,,,,,,,,,,,,,,,,,,,
miagolare.v.01,time.n.08,,Time,it/p48/d3410,Sing,miagolare,VERB,V,Fin,,,,,,,Pres,Ind,3,,,,,
female.n.02,Tom,,Name,it/p48/d2519,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p48/d2519,,,,,,,,,,,,,,,,,,,
livido.a.01,time.n.08,,Time,it/p48/d2519,Sing,livido,ADJ,A,,,,,,,Masc,,,,,,,,
female.n.02,Tom,,Name,it/p48/d2497,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p48/d2497,,,,,,,,,,,,,,,,,,,
bussare.v.01,female.n.02,nsubj,Agent,it/p48/d2497,,bussare,VERB,V,Ger,,,Tom,PROPN,SP,,,,,,,,,
bussare.v.01,time.n.08,,Time,it/p48/d2497,,bussare,VERB,V,Ger,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p48/d3108,,Tom,PROPN,SP,,,,,,,,,,,,,,,
suonare.v.01,female.n.02,nsubj,Agent,it/p48/d3108,Sing,suonare,VERB,V,Fin,,,Tom,PROPN,SP,,Imp,Ind,3,,,,,
suonare.v.01,time.n.08,,Time,it/p48/d3108,Sing,suonare,VERB,V,Fin,,,,,,,Imp,Ind,3,,,,,
suonare.v.01,flauto.n.01,obj,Theme,it/p48/d3108,Sing,suonare,VERB,V,Fin,Masc,Sing,flauto,NOUN,S,,Imp,Ind,3,,,,,
time.n.08,now,,TPR,it/p48/d3108,,,,,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p75/d1837,,Tom,PROPN,SP,,,,,,,,,,,,,,,
maleducato.a.01,female.n.02,nsubj,AttributeOf,it/p75/d1837,Sing,maleducato,ADJ,A,,,,Tom,PROPN,SP,Masc,,,,,,,,
maleducato.a.01,time.n.08,,Time,it/p75/d1837,Sing,maleducato,ADJ,A,,,,,,,Masc,,,,,,,,
piano.n.01,quello.n.01,nsubj,Theme,it/p75/d2594,Sing,piano,NOUN,S,,Masc,Sing,quello,PRON,PD,Masc,,,,,Dem,,,
female.n.02,Tom,,Name,it/p75/d2499,,Tom,PROPN,SP,,,,,,,,,,,,,,,
passeggiare.v.01,time.n.08,,Time,it/p75/d2499,,passeggiare,VERB,V,Ger,,,,,,,,,,,,,,
female.n.02,Mary,,Name,it/p75/d2571,,Mary,PROPN,SP,,,,,,,,,,,,,,,
ridacchiare.v.01,female.n.02,nsubj,Agent,it/p75/d2571,Sing,ridacchiare,VERB,V,Part,,,Mary,PROPN,SP,Masc,Past,,,,,,,
ridacchiare.v.01,time.n.08,,Time,it/p75/d2571,Sing,ridacchiare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
time.n.08,now,,TPR,it/p75/d2571,,,,,,,,,,,,,,,,,,,
panettiere.n.01,time.n.08,,Time,it/p75/d0818,Sing,panettiere,NOUN,S,,,,,,,Masc,,,,,,,,
time.n.08,now,,EQU,it/p75/d0818,,,,,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p75/d1454,,,,,,,,,,,,,,,,,,,
logico.a.01,time.n.08,,Time,it/p75/d1454,Sing,logico,ADJ,A,,,,,,,Masc,,,,,,,,
female.n.02,Tom,,Name,it/p75/d2743,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p75/d2743,,,,,,,,,,,,,,,,,,,
rivoltante.a.01,female.n.02,nsubj,AttributeOf,it/p75/d2743,Sing,rivoltante,ADJ,A,,,,Tom,PROPN,SP,,,,,,,,,
rivoltante.a.01,time.n.08,,Time,it/p75/d2743,Sing,rivoltante,ADJ,A,,,,,,,,,,,,,,,
sibilare.v.01,time.n.08,,Time,it/p49/d2369,Sing,sibilare,VERB,V,Fin,,,,,,,Pres,Ind,3,,,,,
time.n.08,now,,EQU,it/p49/d2369,,,,,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p49/d2996,,Tom,PROPN,SP,,,,,,,,,,,,,,,
time.n.08,now,,EQU,it/p49/d2996,,,,,,,,,,,,,,,,,,,
allergico.a.01,time.n.08,,Time,it/p49/d2996,Sing,allergico,ADJ,A,,,,,,,Masc,,,,,,,,
allergico.a.01,noce.n.01,obl,Stimulus,it/p49/d2996,Sing,allergico,ADJ,A,,Fem,Plur,noce,NOUN,S,Masc,,,,,,,,
time.n.08,now,,TPR,it/p49/d2909,,,,,,,,,,,,,,,,,,,
bloccare.v.01,time.n.08,,Time,it/p49/d2909,Sing,bloccare,VERB,V,Part,,,,,,Masc,Past,,,,,,,
female.n.02,Mary,,Name,it/p49/d2431,,Mary,PROPN,SP,,,,,,,,,,,,,,,
baciare.v.01,time.n.08,,Time,it/p49/d2431,Sing,baciare,VERB,V,Fin,,,,,,,Past,Ind,3,,,,,
time.n.08,now,,TPR,it/p49/d2431,,,,,,,,,,,,,,,,,,,
female.n.02,Tom,,Name,it/p49/d2431,,Tom,PROPN,SP,,,,,,,,,,,,,,,
assumere.v.01,male.n.02,nsubj,Agent,it/p49/d1939,Sing,assumere,VERB,V,Part,Masc,Sing,lui,PRON,PE,Masc,Past,,,,Prs,3,,
assumere.v.01,time.n.08,,Time,it/p49/d1939,Sing,assumere,VERB,V,Part,,,,,,Masc,Past,,,,,,,
