from_node_token,from_node_Gender,from_node_Number,from_node_lemma,from_node_upos,from_node_xpos,to_node_token,deprel,label,doc_id,from_node_VerbForm,to_node_Gender,to_node_Number,to_node_lemma,to_node_upos,to_node_xpos,from_node_Degree,from_node_Tense,to_node_Case,to_node_Person,to_node_PronType,from_node_Case,from_node_Person,from_node_PronType,to_node_Degree,to_node_Poss,to_node_Tense,to_node_VerbForm,from_node_Poss
female.n.02,Com,Sing,Mary,PROPN,N|eigen|ev|basis|zijd|stan,Mary,,Name,nl/p96/d2299,,,,,,,,,,,,,,,,,,,
molken.v.01,,,molken,VERB,WW|vd|vrij|zonder,female.n.02,nsubj,Agent,nl/p96/d2299,Part,Com,Sing,Mary,PROPN,N|eigen|ev|basis|zijd|stan,,,,,,,,,,,,,
molken.v.01,,,molken,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p96/d2299,Part,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p96/d1684,,,,,,,,,,,,,,,,,,,
gelukkig.a.01,,,gelukkig,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p96/d1684,,,,,,,Pos,,,,,,,,,,,,
terug_slaan.v.01,,Sing,terug_slaan,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p96/d0858,Fin,,,zij,PRON,VNW|pers|pron|nomin|vol|3v|ev|fem,,Past,Nom,3,Prs,,,,,,,,
terug_slaan.v.01,,Sing,terug_slaan,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p96/d0858,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p96/d0858,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,Tom,,Name,nl/p96/d2865,,,,,,,,,,,,,,,,,,,
spelen.v.01,,Sing,spelen,VERB,WW|pv|tgw|met-t,female.n.02,nsubj,Agent,nl/p96/d2865,Fin,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,,Pres,,,,,,,,,,,
spelen.v.01,,Sing,spelen,VERB,WW|pv|tgw|met-t,time.n.08,,Time,nl/p96/d2865,Fin,,,,,,,Pres,,,,,,,,,,,
spelen.v.01,,Sing,spelen,VERB,WW|pv|tgw|met-t,hockey.n.01,obj,Theme,nl/p96/d2865,Fin,Com,Sing,hockey,NOUN,N|soort|ev|basis|zijd|stan,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p96/d2865,,,,,,,,,,,,,,,,,,,
toe_voegen.v.01,,Sing,toe_voegen,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p96/d3462,Fin,,,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem,,Past,,3,Prs,,,,,,,,
toe_voegen.v.01,,Sing,toe_voegen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p96/d3462,Fin,,,,,,,Past,,,,,,,,,,,
toe_voegen.v.01,,Sing,toe_voegen,VERB,WW|pv|verl|ev,melk.n.01,obj,Theme,nl/p96/d3462,Fin,Com,Sing,melk,NOUN,N|soort|ev|basis|zijd|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p96/d3462,,,,,,,,,,,,,,,,,,,
duren.v.01,,Sing,duren,VERB,WW|pv|verl|ev,vergadering.n.01,nsubj,Theme,nl/p96/d0909,Fin,Com,Sing,vergadering,NOUN,N|soort|ev|basis|zijd|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p96/d2975,,,,,,,,,,,,,,,,,,,
baseren.v.01,,,baseren,VERB,WW|vd|vrij|zonder,film.n.01,nsubj:pass,Theme,nl/p96/d2975,Part,Com,Sing,film,NOUN,N|soort|ev|basis|zijd|stan,,,,,,,,,,,,,
baseren.v.01,,,baseren,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p96/d2975,Part,,,,,,,,,,,,,,,,,,
steken.v.01,,Sing,steken,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p96/d3097,Fin,,,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc,,Past,Nom,3,Prs,,,,,,,,
steken.v.01,,Sing,steken,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p96/d3097,Fin,,,,,,,Past,,,,,,,,,,,
steken.v.01,,Sing,steken,VERB,WW|pv|verl|ev,sleutel.n.01,obj,Theme,nl/p96/d3097,Fin,Com,Sing,sleutel,NOUN,N|soort|ev|basis|zijd|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p96/d3097,,,,,,,,,,,,,,,,,,,
begrijpen.v.01,,Sing,begrijpen,VERB,WW|pv|verl|ev,person.n.01,obj,Time,nl/p96/d0945,Fin,,,mij,PRON,VNW|pr|pron|obl|vol|1|ev,,Past,Acc,1,Prs,,,,,,,,
female.n.02,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,Tom,,Name,nl/p96/d3505,,,,,,,,,,,,,,,,,,,
kreunen.v.01,,Sing,kreunen,VERB,WW|pv|verl|ev,female.n.02,nsubj,Agent,nl/p96/d3505,Fin,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,,Past,,,,,,,,,,,
kreunen.v.01,,Sing,kreunen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p96/d3505,Fin,,,,,,,Past,,,,,,,,,,,
kreunen.v.01,,Sing,kreunen,VERB,WW|pv|verl|ev,pijn.n.01,obl,Theme,nl/p96/d3505,Fin,Com,Sing,pijn,NOUN,N|soort|ev|basis|zijd|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p96/d3505,,,,,,,,,,,,,,,,,,,
graven.v.01,,Sing,graven,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p96/d0839,Fin,,,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc,,Past,Nom,3,Prs,,,,,,,,
graven.v.01,,Sing,graven,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p96/d0839,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p96/d0839,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p79/d1593,,,,,,,,,,,,,,,,,,,
helder.a.01,,,helder,ADJ,ADJ|vrij|basis|zonder,maan.n.01,nsubj,AttributeOf,nl/p79/d1593,,Com,Sing,maan,NOUN,N|soort|ev|basis|zijd|stan,Pos,,,,,,,,,,,,
helder.a.01,,,helder,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p79/d1593,,,,,,,Pos,,,,,,,,,,,,
person.n.01,,,we,PRON,VNW|pers|pron|nomin|red|1|mv,speaker,,EQU,nl/p79/d0912,,,,,,,,,,,,Nom,1,Prs,,,,,
hebben.v.01,,Plur,hebben,VERB,WW|pv|tgw|mv,time.n.08,,Time,nl/p79/d0912,Fin,,,,,,,Pres,,,,,,,,,,,
hebben.v.01,,Plur,hebben,VERB,WW|pv|tgw|mv,kind.n.01,obj,Theme,nl/p79/d0912,Fin,,Plur,kind,NOUN,N|soort|mv|basis,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p79/d0912,,,,,,,,,,,,,,,,,,,
female.n.02,,,Gianni,PROPN,SPEC|deeleigen,Gianni,,Name,nl/p79/d0763,,,,,,,,,,,,,,,,,,,
ontwerper.n.01,Com,Sing,ontwerper,NOUN,N|soort|ev|basis|zijd|stan,female.n.02,nsubj,Theme,nl/p79/d0763,,,,Gianni,PROPN,SPEC|deeleigen,,,,,,,,,,,,,
begrijpen.v.01,,Sing,begrijpen,VERB,WW|pv|tgw|met-t,person.n.01,obj,Time,nl/p79/d0767,Fin,,,me,PRON,VNW|pr|pron|obl|red|1|ev,,Pres,Acc,1,Prs,,,,,,,,
person.n.01,,,me,PRON,VNW|pr|pron|obl|red|1|ev,speaker,,EQU,nl/p79/d0767,,,,,,,,,,,,Acc,1,Prs,,,,,
time.n.08,,,,,,now,,EQU,nl/p79/d0767,,,,,,,,,,,,,,,,,,,
person.n.01,,,me,PRON,VNW|pr|pron|obl|red|1|ev,speaker,,EQU,nl/p79/d0901,,,,,,,,,,,,Acc,1,Prs,,,,,
dumpen.v.01,,,dumpen,VERB,WW|vd|vrij|zonder,person.n.01,nsubj,Agent,nl/p79/d0901,Part,,,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem,,,,3,Prs,,,,,,,,
dumpen.v.01,,,dumpen,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p79/d0901,Part,,,,,,,,,,,,,,,,,,
female.n.02,,,Brad,PROPN,SPEC|deeleigen,Brad,,Name,nl/p79/d0885,,,,,,,,,,,,,,,,,,,
acteur.n.01,Com,Sing,acteur,NOUN,N|soort|ev|basis|zijd|stan,female.n.02,nsubj,Theme,nl/p79/d0885,,,,Brad,PROPN,SPEC|deeleigen,,,,,,,,,,,,,
person.n.01,,,je,PRON,VNW|pers|pron|nomin|red|2v|ev,hearer,,EQU,nl/p79/d0914,,,,,,,,,,,,Nom,2,Prs,,,,,
verpessen.v.01,,,verpessen,VERB,WW|vd|vrij|zonder,person.n.01,nsubj,Agent,nl/p79/d0914,Part,,,je,PRON,VNW|pers|pron|nomin|red|2v|ev,,,Nom,2,Prs,,,,,,,,
verpessen.v.01,,,verpessen,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p79/d0914,Part,,,,,,,,,,,,,,,,,,
person.n.01,,,wat,PRON,VNW|vb|pron|stan|vol|3o|ev,berg.n.01,nsubj,Co-Theme,nl/p98/d1391,,Com,Sing,berg,NOUN,N|soort|ev|basis|zijd|stan,,,,,,,3,Int,,,,,
time.n.08,,,,,,now,,EQU,nl/p98/d0929,,,,,,,,,,,,,,,,,,,
boos.a.01,,,boos,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p98/d0929,,,,,,,Pos,,,,,,,,,,,,
female.n.02,Com,Sing,Luna,PROPN,N|eigen|ev|basis|zijd|stan,Luna,,Name,nl/p98/d3531,,,,,,,,,,,,,,,,,,,
persoon.n.01,Com,Sing,persoon,NOUN,N|soort|ev|basis|zijd|stan,female.n.02,nsubj,Theme,nl/p98/d3531,,Com,Sing,Luna,PROPN,N|eigen|ev|basis|zijd|stan,,,,,,,,,,,,,
persoon.n.01,Com,Sing,persoon,NOUN,N|soort|ev|basis|zijd|stan,time.n.08,,Time,nl/p98/d3531,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p98/d3531,,,,,,,,,,,,,,,,,,,
zijn.v.01,,Plur,zijn,VERB,WW|pv|tgw|mv,time.n.08,,Time,nl/p98/d0894,Fin,,,,,,,Pres,,,,,,,,,,,
zijn.v.01,,Plur,zijn,VERB,WW|pv|tgw|mv,parkeer_meter.n.01,nsubj,Theme,nl/p98/d0894,Fin,,Plur,parkeer_meter,NOUN,N|soort|mv|basis,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p98/d0894,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Kate,PROPN,N|eigen|ev|basis|zijd|stan,Kate,,Name,nl/p98/d0800,,,,,,,,,,,,,,,,,,,
bakken.v.01,,,bakken,VERB,WW|vd|vrij|zonder,female.n.02,nsubj,Agent,nl/p98/d0800,Part,Com,Sing,Kate,PROPN,N|eigen|ev|basis|zijd|stan,,,,,,,,,,,,,
bakken.v.01,,,bakken,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p98/d0800,Part,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,Tom,,Name,nl/p98/d0936,,,,,,,,,,,,,,,,,,,
schrijven.v.01,,Sing,schrijven,VERB,WW|pv|verl|ev,female.n.02,nsubj,Agent,nl/p98/d0936,Fin,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,,Past,,,,,,,,,,,
schrijven.v.01,,Sing,schrijven,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p98/d0936,Fin,,,,,,,Past,,,,,,,,,,,
schrijven.v.01,,Sing,schrijven,VERB,WW|pv|verl|ev,naam.n.01,obj,Theme,nl/p98/d0936,Fin,Com,Sing,naam,NOUN,N|soort|ev|basis|zijd|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p98/d0936,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,John,PROPN,N|eigen|ev|basis|zijd|stan,John,,Name,nl/p98/d0794,,,,,,,,,,,,,,,,,,,
erven.v.01,,Sing,erven,VERB,WW|pv|verl|ev,female.n.02,nsubj,Agent,nl/p98/d0794,Fin,Com,Sing,John,PROPN,N|eigen|ev|basis|zijd|stan,,Past,,,,,,,,,,,
erven.v.01,,Sing,erven,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p98/d0794,Fin,,,,,,,Past,,,,,,,,,,,
erven.v.01,,Sing,erven,VERB,WW|pv|verl|ev,fortuin.n.01,obj,Theme,nl/p98/d0794,Fin,Neut,Sing,fortuin,NOUN,N|soort|ev|basis|onz|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p98/d0794,,,,,,,,,,,,,,,,,,,
fortuin.n.01,Neut,Sing,fortuin,NOUN,N|soort|ev|basis|onz|stan,groot.a.01,amod,Attribute,nl/p98/d0794,,,,groot,ADJ,ADJ|prenom|basis|zonder,,,,,,,,,Pos,,,,
vriend.n.01,Com,Sing,vriend,NOUN,N|soort|ev|basis|zijd|stan,person.n.01,nmod:poss,Role,nl/p98/d1773,,,,mijn,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr,,,,1,Prs,,,,,Yes,,,
houden.v.01,,Sing,houden,VERB,WW|pv|tgw|met-t,time.n.08,,Time,nl/p98/d1773,Fin,,,,,,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p98/d1773,,,,,,,,,,,,,,,,,,,
person.n.01,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,speaker,,EQU,nl/p98/d2396,,,,,,,,,,,,Nom,1,Prs,,,,,
kapot_maken.v.01,,,kapot_maken,VERB,WW|vd|vrij|zonder,person.n.01,nsubj,Agent,nl/p98/d2396,Part,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,,,Nom,1,Prs,,,,,,,,
kapot_maken.v.01,,,kapot_maken,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p98/d2396,Part,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,Tom,,Name,nl/p38/d0900,,,,,,,,,,,,,,,,,,,
houden_bij.v.01,,Sing,houden,VERB,WW|pv|tgw|met-t,female.n.02,nsubj,Agent,nl/p38/d0900,Fin,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,,Pres,,,,,,,,,,,
houden_bij.v.01,,Sing,houden,VERB,WW|pv|tgw|met-t,time.n.08,,Time,nl/p38/d0900,Fin,,,,,,,Pres,,,,,,,,,,,
houden_bij.v.01,,Sing,houden,VERB,WW|pv|tgw|met-t,dag_boek.n.01,obj,Theme,nl/p38/d0900,Fin,Neut,Sing,dag_boek,NOUN,N|soort|ev|basis|onz|stan,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p38/d0900,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p38/d0932,,,,,,,,,,,,,,,,,,,
slecht.a.01,,,slecht,ADJ,ADJ|vrij|basis|zonder,person.n.01,nsubj,AttributeOf,nl/p38/d0932,,,,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem,Pos,,,3,Prs,,,,,,,,
slecht.a.01,,,slecht,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p38/d0932,,,,,,,Pos,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p38/d0958,,,,,,,,,,,,,,,,,,,
afval_water.n.01,Neut,Sing,afval_water,NOUN,N|soort|ev|basis|onz|stan,mijn.n.01,nmod,EQU,nl/p38/d0766,,,Plur,mijn,NOUN,N|soort|mv|basis,,,,,,,,,,,,,
stinken.v.01,,Plur,stinken,VERB,WW|pv|tgw|mv,sok.n.01,nsubj,Theme,nl/p38/d0919,Fin,,Plur,sok,NOUN,N|soort|mv|basis,,Pres,,,,,,,,,,,
stinken.v.01,,Plur,stinken,VERB,WW|pv|tgw|mv,time.n.08,,Time,nl/p38/d0919,Fin,,,,,,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p38/d0919,,,,,,,,,,,,,,,,,,,
laden.v.01,,,laden,VERB,WW|vd|vrij|zonder,kist.n.01,nsubj:pass,Theme,nl/p16/d0927,Part,Com,Sing,kist,NOUN,N|soort|ev|basis|zijd|stan,,,,,,,,,,,,,
laden.v.01,,,laden,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p16/d0927,Part,,,,,,,,,,,,,,,,,,
staan.v.01,,Sing,staan,VERB,WW|pv|verl|ev,huis.n.01,nsubj,Theme,nl/p16/d1615,Fin,Neut,Sing,huis,NOUN,N|soort|ev|basis|onz|stan,,Past,,,,,,,,,,,
staan.v.01,,Sing,staan,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p16/d1615,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p16/d1615,,,,,,,,,,,,,,,,,,,
person.n.01,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,speaker,,EQU,nl/p16/d0821,,,,,,,,,,,,Nom,1,Prs,,,,,
time.n.08,,,,,,now,,EQU,nl/p16/d0821,,,,,,,,,,,,,,,,,,,
dol.a.01,,,dol,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p16/d0821,,,,,,,Pos,,,,,,,,,,,,
dol.a.01,,,dol,ADJ,ADJ|vrij|basis|zonder,auto.n.01,obl,Stimulus,nl/p16/d0821,,,Plur,auto,NOUN,N|soort|mv|basis,Pos,,,,,,,,,,,,
kloppen.v.01,,Sing,kloppen,VERB,WW|pv|tgw|met-t,person.n.01,nsubj,Agent,nl/p16/d0902,Fin,,,iemand,PRON,VNW|onbep|pron|stan|vol|3p|ev,,Pres,,3,Ind,,,,,,,,
kloppen.v.01,,Sing,kloppen,VERB,WW|pv|tgw|met-t,time.n.08,,Time,nl/p16/d0902,Fin,,,,,,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p16/d0902,,,,,,,,,,,,,,,,,,,
zijn_onder.v.01,,Sing,zijn,VERB,WW|pv|tgw|ev,theepot.n.01,nsubj,Theme,nl/p16/d2891,Fin,Com,Sing,theepot,NOUN,N|soort|ev|basis|zijd|stan,,Pres,,,,,,,,,,,
trouwen.v.01,,Sing,trouwen,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p16/d0837,Fin,,,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc,,Past,Nom,3,Prs,,,,,,,,
person.n.01,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,speaker,,EQU,nl/p16/d0818,,,,,,,,,,,,Nom,1,Prs,,,,,
kopen.v.01,,,kopen,VERB,WW|vd|vrij|zonder,person.n.01,nsubj,Agent,nl/p16/d0818,Part,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,,,Nom,1,Prs,,,,,,,,
kopen.v.01,,,kopen,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p16/d0818,Part,,,,,,,,,,,,,,,,,,
bezoeken.v.01,,Sing,bezoeken,VERB,WW|pv|tgw|met-t,female.n.02,obj,Time,nl/p16/d0762,Fin,Com,Sing,VN.,PROPN,N|eigen|ev|basis|zijd|stan,,Pres,,,,,,,,,,,
female.n.02,Com,Sing,Castro,PROPN,N|eigen|ev|basis|zijd|stan,Castro,,Name,nl/p16/d0762,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Cristiani,PROPN,N|eigen|ev|basis|zijd|stan,Cristiani,,Name,nl/p16/d0760,,,,,,,,,,,,,,,,,,,
vermoorden.v.01,,Sing,vermoorden,VERB,WW|pv|verl|ev,female.n.02,nsubj,Agent,nl/p16/d0760,Fin,Com,Sing,Cristiani,PROPN,N|eigen|ev|basis|zijd|stan,,Past,,,,,,,,,,,
houden.v.01,,Sing,houden,VERB,WW|pv|tgw|met-t,time.n.08,,Time,nl/p48/d0846,Fin,,,,,,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p48/d0846,,,,,,,,,,,,,,,,,,,
female.n.02,,,Jorge,PROPN,SPEC|deeleigen,Jorge,,Name,nl/p48/d1391,,,,,,,,,,,,,,,,,,,
geboren.v.01,,,geboren,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p48/d1391,Part,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Melanie,PROPN,N|eigen|ev|basis|zijd|stan,Melanie,,Name,nl/p48/d2069,,,,,,,,,,,,,,,,,,,
houden.v.01,,Sing,houden,VERB,WW|pv|tgw|met-t,time.n.08,,Time,nl/p48/d2069,Fin,,,,,,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p48/d2069,,,,,,,,,,,,,,,,,,,
ondervragen.v.01,,Sing,ondervragen,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p48/d1675,Fin,,,zij,PRON,VNW|pers|pron|nomin|vol|3v|ev|fem,,Past,Nom,3,Prs,,,,,,,,
person.n.01,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,speaker,,EQU,nl/p48/d0940,,,,,,,,,,,,Nom,1,Prs,,,,,
time.n.08,,,,,,now,,EQU,nl/p48/d0940,,,,,,,,,,,,,,,,,,,
linkshandig.a.01,,,linkshandig,ADJ,ADJ|vrij|basis|zonder,person.n.01,nsubj,AttributeOf,nl/p48/d0940,,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,Pos,,Nom,1,Prs,,,,,,,,
linkshandig.a.01,,,linkshandig,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p48/d0940,,,,,,,Pos,,,,,,,,,,,,
zwijken_over.v.01,,Sing,zwijken,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p48/d0837,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p48/d0837,,,,,,,,,,,,,,,,,,,
miawen.v.01,,Sing,miawen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p48/d3410,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p48/d3410,,,,,,,,,,,,,,,,,,,
